date,open,high,low,close,volume
2022-01-03,173.85,178.79,173.74,177.94,104487900
2022-01-04,178.55,178.85,175.11,175.68,99310400
2022-01-05,175.59,176.14,170.73,171.01,94537600
2022-01-06,168.84,171.38,167.8,168.15,96904000
2022-01-07,169.02,170.25,167.21,168.32,86709100
2022-01-10,165.3,168.64,164.41,168.34,106765600
2022-01-11,168.47,171.26,167.0,171.16,76138300
2022-01-12,172.18,173.22,170.91,171.6,74805200
2022-01-13,171.85,172.67,167.95,168.34,84505800
2022-01-14,167.51,169.89,167.26,169.2,80440800
2022-01-18,167.67,168.68,165.62,166.0,90956700
2022-01-19,166.2,167.25,162.23,162.51,94815000
2022-01-20,163.25,165.89,160.51,160.83,91420500
2022-01-21,160.74,162.61,158.67,158.78,122848900
2022-01-24,156.44,158.67,151.24,158.01,162294600
2022-01-25,155.42,159.12,153.51,156.21,115798400
2022-01-26,159.84,160.71,154.29,156.12,108275300
2022-01-27,158.82,160.18,154.74,155.66,121954600
2022-01-28,162.0,166.54,159.16,166.52,179935700
2022-01-31,166.35,171.09,165.72,170.87,115541600
2022-02-01,170.12,170.93,168.46,170.71,86213900
2022-02-02,170.84,171.95,169.45,171.91,84914300
2022-02-03,170.58,172.3,168.27,169.03,89418100
2022-02-04,168.05,170.42,167.08,168.75,82465400
2022-02-07,169.21,170.28,167.34,168.04,77251200
2022-02-08,168.1,171.65,167.81,171.14,74829200
2022-02-09,172.33,172.92,171.21,172.56,71285000
2022-02-10,170.46,171.77,167.93,168.49,90865900
2022-02-11,168.69,169.43,164.49,165.08,98670700
2022-02-14,163.84,166.0,163.04,165.31,86185500
2022-02-15,167.36,169.3,166.65,169.14,62527400
2022-02-16,168.22,169.68,166.46,168.91,61177400
2022-02-17,167.42,168.28,164.91,165.31,69589300
2022-02-18,166.23,166.94,162.68,163.77,82772700
2022-02-22,161.5,163.17,158.73,160.85,91162800
2022-02-23,162.04,162.64,156.38,156.69,90009200
2022-02-24,149.36,159.41,148.79,159.3,141147500
2022-02-25,160.38,161.63,157.47,161.37,91974200
2022-02-28,159.62,161.93,159.0,161.63,95056600
2022-03-01,161.22,163.08,158.55,159.75,83474400
