date,open,high,low,close,volume
2022-01-03,29.72,30.61,29.69,30.03,391547000
2022-01-04,30.18,30.37,28.26,29.2,527154000
2022-01-05,28.86,29.32,27.45,27.52,498064000
2022-01-06,27.55,28.35,26.98,28.09,454186000
2022-01-07,28.05,28.33,26.97,27.16,409939000
2022-01-10,26.5,27.38,25.56,27.31,594681000
2022-01-11,27.24,27.98,26.75,27.73,404089000
2022-01-12,27.98,28.5,27.52,27.91,383413000
2022-01-13,28.29,28.39,26.41,26.49,540171000
2022-01-14,26.22,27.11,26.13,26.86,395832000
2022-01-18,26.18,26.55,25.69,25.82,424270000
2022-01-19,26.0,26.46,24.97,24.99,488315000
2022-01-20,25.22,25.5,24.0,24.07,435181000
2022-01-21,23.43,24.74,23.19,23.3,718958000
2022-01-24,22.26,23.31,20.82,23.3,913982000
2022-01-25,22.47,22.87,21.93,22.25,664616000
2022-01-26,23.17,23.98,22.23,22.7,755959000
2022-01-27,23.49,23.92,21.61,21.87,573353000
2022-01-28,21.94,22.79,21.23,22.77,543774000
2022-01-31,23.11,24.43,22.98,24.41,564680000
2022-02-01,25.02,25.07,23.81,24.56,518925000
2022-02-02,25.71,25.74,24.48,25.16,543419000
2022-02-03,24.38,25.0,23.71,23.87,410178000
2022-02-04,23.9,24.56,23.56,24.24,354829000
2022-02-07,24.3,25.1,24.13,24.65,376868000
2022-02-08,24.28,25.15,23.9,25.03,410359000
2022-02-09,25.54,26.64,25.27,26.62,524282000
2022-02-10,25.91,26.84,25.52,25.74,513200000
2022-02-11,25.83,26.07,23.7,23.87,605472000
2022-02-14,23.86,24.8,23.68,24.19,440424000
2022-02-15,24.87,26.46,24.71,26.41,699869000
2022-02-16,26.18,26.5,25.47,26.43,732676000
2022-02-17,25.55,25.7,24.09,24.43,810595000
2022-02-18,24.59,24.91,23.03,23.57,761255000
2022-02-22,22.96,23.99,22.93,23.32,633422000
2022-02-23,23.73,24.08,22.23,22.32,566511000
2022-02-24,20.95,23.73,20.82,23.67,735801000
2022-02-25,23.65,24.14,23.31,24.08,528866000
2022-02-28,23.92,24.59,23.63,24.31,477319000
2022-03-01,24.21,24.3,23.06,23.4,412056000
2022-03-02,23.69,24.34,23.35,24.15,389642000
2022-03-03,24.19,24.25,23.4,23.64,365095000
2022-03-04,23.31,23.61,22.42,22.87,431415000
2022-03-07,22.75,22.96,21.27,21.29,450821000
2022-03-08,21.25,22.31,20.59,21.45,557467000
2022-03-09,22.32,23.15,22.18,22.95,492742000
2022-03-10,22.46,22.72,21.82,22.59,428066000
2022-03-11,22.95,23.08,21.98,22.03,367209000
2022-03-14,21.8,22.2,21.1,21.27,385354000
2022-03-15,21.45,22.97,21.26,22.9,491996000
2022-03-16,23.43,24.52,23.1,24.42,671422000
2022-03-17,24.05,24.77,23.83,24.69,471941000
2022-03-18,24.73,26.49,24.55,26.37,730719000
2022-03-21,26.43,27.07,25.89,26.65,591727000
2022-03-22,26.65,27.16,25.99,26.44,547007000
