date,open,high,low,close,volume
2026-02-27,402.9400,407.1200,398.1100,402.5100,56890097
2026-03-02,390.6000,404.5400,388.2500,403.3200,55088338
2026-03-03,395.0900,396.3400,385.3900,392.4300,62617298
2026-03-04,397.8450,408.3300,394.5800,405.9400,68305513
2026-03-05,401.5700,408.6200,399.4200,405.5500,51925898
2026-03-06,398.0900,402.3500,394.2100,396.7300,64054561
2026-03-09,390.0500,401.5900,381.4000,398.6800,67018911
2026-03-10,402.2200,406.5900,398.1900,399.2350,59258743
2026-03-11,402.2800,416.3799,402.1500,407.8200,62559930
2026-03-12,405.1750,406.5000,394.6500,395.0100,60973793
2026-03-13,399.1650,400.2000,389.9500,391.2000,58504091
2026-03-16,396.2200,403.7300,394.4200,395.5600,58068343
2026-03-17,395.6900,400.1200,393.0000,399.2700,46890467
2026-03-18,399.0000,403.0650,392.3100,392.7800,50853149
2026-03-19,387.2700,387.2700,378.7300,380.3000,67078259
2026-03-20,379.8500,379.8900,364.4601,367.9600,78628603
2026-03-23,373.0900,385.3300,372.7300,380.8500,74606049
2026-03-24,376.5600,387.4800,376.3100,383.0300,60004909
2026-03-25,389.9900,396.2300,385.0100,385.9500,55157265
2026-03-26,381.6000,384.4400,371.8700,372.1100,55522879
2026-03-27,369.6900,369.8600,359.4700,361.8300,62065659
2026-03-30,365.8600,367.2900,352.1400,355.2800,67954405
2026-03-31,361.5100,373.3300,361.0000,371.7500,75534934
2026-04-01,378.6300,383.1400,374.0800,381.2600,58683752
2026-04-02,364.1950,370.2800,359.0300,360.5900,83031226
2026-04-06,362.5900,367.7200,346.6400,352.8200,77697643
2026-04-07,346.4400,348.0200,337.2400,346.6500,74515355
2026-04-08,363.7900,364.5000,339.6700,343.2500,78838616
2026-04-09,343.1500,348.8800,337.2500,345.6200,62164016
2026-04-10,346.2850,350.3600,342.7400,348.9500,51336034
2026-04-13,350.0650,356.3500,348.5700,352.4200,53617477
2026-04-14,357.6700,367.6300,354.7700,364.2000,59979607
2026-04-15,366.8300,394.6500,362.5000,391.9500,113810355
2026-04-16,393.8100,394.0600,381.8000,388.9000,63515136
2026-04-17,395.9200,409.2800,391.6500,400.6200,90640032
2026-04-20,402.5800,406.8000,388.3300,392.5000,64603868
2026-04-21,393.0000,393.9500,385.2201,386.4200,50530611
2026-04-22,387.5700,393.0100,385.3000,387.5100,62362785
2026-04-23,375.2800,386.0000,368.3900,373.7200,93969510
2026-04-24,373.5000,382.7600,370.7300,376.3000,62893307
2026-04-27,372.0900,380.7800,364.0200,378.6700,66735816
2026-04-28,374.6750,382.2900,372.5400,376.0200,50864357
2026-04-29,375.4000,376.4000,370.0400,372.8000,45384836
2026-04-30,372.7500,384.7500,368.1700,381.6300,51076041
2026-05-01,382.4850,397.8211,378.8000,390.8200,65338257
2026-05-04,390.2300,394.6400,384.8004,392.5100,48765143
2026-05-05,395.1850,402.1200,389.0000,389.3700,47780631
2026-05-06,386.2500,401.6800,384.0200,398.7300,53465365
2026-05-07,407.4800,415.8300,402.1200,411.7900,64294224
2026-05-08,416.4750,431.2000,416.3900,428.3500,65049970
2026-05-11,422.1600,449.1600,416.8000,445.0000,78376127
2026-05-12,441.4100,447.8000,422.2600,433.4500,60569303
2026-05-13,436.6650,453.4000,430.2100,445.2700,68283229
2026-05-14,446.4900,451.9800,441.1600,443.3000,46070361
2026-05-15,433.9800,434.6600,422.0000,422.2400,52688742
2026-05-18,419.2700,421.1300,405.3300,409.9900,52474188
2026-05-19,403.1600,405.6300,393.6300,404.1100,46500551
2026-05-20,407.6000,417.4600,406.3900,417.2600,44484579
2026-05-21,422.1750,426.9500,412.9000,417.8500,42636854
2026-05-22,422.6650,431.5100,420.5100,426.0100,46104710
2026-05-26,430.2600,435.2000,426.1200,433.5900,45658897
2026-05-27,442.8900,445.6000,435.5200,440.3600,44656505
2026-05-28,437.6150,443.9600,436.3000,442.1000,32434996
2026-05-29,439.8450,441.0700,428.1400,435.7900,45176821
2026-06-01,427.4900,429.6000,415.4300,415.8800,44937852
2026-06-02,418.2200,424.4200,413.6500,423.7400,37596045
2026-06-03,418.7000,433.6000,416.0000,423.7000,44500733
2026-06-04,419.8400,426.3499,417.1600,418.4500,35323259
2026-06-05,420.5000,424.6799,388.5900,391.0000,63420177
2026-06-08,396.3300,412.9400,394.7200,408.9500,50328834
2026-06-09,411.0300,418.5000,384.2400,396.6800,59940230
2026-06-10,391.5400,397.0900,380.1500,381.5900,49695583
2026-06-11,388.2800,399.5400,380.6600,399.1500,45324348
2026-06-12,399.4900,406.6800,386.7600,406.4300,63652286
2026-06-15,412.3700,416.0000,407.1000,411.1500,45620514
2026-06-16,404.1100,412.4200,400.5400,404.6600,40255473
2026-06-17,401.5300,405.9400,393.7600,396.3800,43534299
2026-06-18,398.0950,402.5200,384.7000,400.4900,58384713
2026-06-22,394.8500,414.7500,394.4000,405.0500,47819486
2026-06-23,392.6100,392.8700,379.0600,381.6100,50420210
2026-06-24,380.0800,384.5800,373.0500,375.5300,37081421
2026-06-25,375.2700,379.1170,371.2210,375.1200,30259987
2026-06-26,370.1500,387.8000,368.6000,379.7100,53434138
2026-06-29,381.7900,413.2700,379.3000,411.8400,57645798
2026-06-30,406.0000,424.5400,406.0000,420.6000,43385619
2026-07-01,421.4600,432.8599,418.0901,425.3000,40127902
2026-07-02,428.0100,432.3500,389.3011,393.4500,73915762
2026-07-06,397.5000,420.0000,390.5000,419.7700,54727861
2026-07-07,416.9600,419.5600,401.8800,402.9000,38149901
2026-07-08,399.3750,399.6300,390.5100,394.0600,33844906
2026-07-09,393.9900,407.8600,390.8631,406.5500,37834988
2026-07-10,410.4900,413.1600,402.8101,407.7600,33409995
2026-07-13,404.6100,405.5700,391.3700,394.7600,32809171
2026-07-14,399.0500,402.2200,394.7600,396.1800,23384992
2026-07-15,399.3950,406.5895,390.6600,394.4600,31549805
2026-07-16,392.3500,395.3100,385.3200,391.0600,29269113
2026-07-17,381.7800,385.6899,377.2200,380.8400,31394594
2026-07-20,386.0450,386.6100,369.4250,369.5700,33901516
2026-07-21,371.1650,384.0700,369.9800,378.9300,32735334
2026-07-22,375.5300,380.1700,372.9000,374.0100,30646124
